operator;number_of_parameters;time_complexity;
anisotropic_diffusion;3;O(n);
area_size_threshold;6;;
area_to_rectangle;0;;
auto_threshold;1;O(n);
bandpass_image;0;O(n*log(n));
binary_threshold;2;O(n);
binomial_filter;2;O(n);
close_edges;1;O(n*kernel_size^2);
coherence_enhancing_diffusion;4;O(n);
connection;0;O(sqrt(n) * sqrt(n));
crop_rectangle;3;;
crop_smallest_rectangle;2;O(sqrt(n));
dilation1;4;O(n*kernel_size^2);
dual_rank;4;O(n*kernel_size^2);
dyn_threshold;2;O(n);
edges_image;3;O(n*kernel_size^2);
edges_sub_pix;4;O(n*kernel_size^2);
eliminate_min_max;4;O(n*kernel_size^2);
equ_histo_image;0;O(n);
erosion1;4;O(n*kernel_size^2);
expand_gray;3;O(n*kernel_size^2);
fast_threshold;3;O(n);
gauss_filter;1;O(n*kernel_size^2);
gray_closing;3;O(n*kernel_size^2);
gray_dilation;3;O(n*kernel_size^2);
gray_erosion;3;O(n*kernel_size^2);
gray_opening;2;O(n*kernel_size^2);
high_pass_image;2;O(n*log(n));
histo_to_thresh;1;O(n*log(n));
kirsch_amp;0;O(n*kernel_size^2);
laplace;3;O(n*kernel_size^2);
laplace_of_gauss;1;O(n*kernel_size^2);
local_threshold;4;O(n);
mean_image;2;O(n*kernel_size^2);
median_image;3;O(n*kernel_size^2);
median_weighted;1;O(n*log(n));
opening;3;O(n*kernel_size^2);
region_growing;4;O(n*log(m)*m);
roberts;1;O(n);
select_shape;3;O(n);
sigma_image;3;O(n);
signed_threshold;3;O(n);
smooth_image;2;;
sobel_amp;2;;
sobel_amp_equ_histo;2;;
threshold;2;O(n);
threshold_access_channel;3;;
union1;0;O(log(sqrt(n))*sqrt(n));
union2;0;O(log(sqrt(n))*sqrt(n));
var_threshold;5;O(n);
zero_crossing;0;;
