"long";"short";"MCC";"number_of_operators";"pipeline_depth";"number_of_unique_operators";"total_number_of_parameters";"digraph"
"AirCarbon2_t_8.jpg_mean_pipeline";"8.jpg";"0.03779059963298550";"1";"1";"1";"3";"digraph Pipeline { rankdir = ""RL"";89 [label=""FastThreshold\nMinGray=75\n MaxGrayOffset=215\n MinSize=168""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 89 -> _1 []; }"
"AirCarbon3_80.jpg_bright_mean_pipeline";"bright";"0.03779059963298550";"3";"3";"3";"10";"digraph Pipeline { rankdir = ""RL"";88 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=15\n Scale=0,3""]; 11 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=7""]; 9 [label=""CoherenceEnhancingDiff\nSigma=0,1\n Rho=2\n Theta=0,1\n Iterations=328""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 88 -> 11 []; 11 -> 9 []; 9 -> _1 []; }"
"AirCarbon3_80.jpg_dark_1_mean_pipeline";"1";"0.08638343532723110";"4";"4";"4";"14";"digraph Pipeline { rankdir = ""RL"";75 [label=""Closing\nA=11\n B=12\n C=-1,178097\n StructElementType=Circle""]; 25 [label=""ThresholdAccessChannel\nChannel=1\n Threshold=49\n Sign=-1""]; 17 [label=""SobelAmp\nFilterType=x\n MaskSize=5""]; 1 [label=""EdgesImage\nFilter=canny\n Alpha=0,8\n Low=30\n High=45\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 75 -> 25 []; 25 -> 17 []; 17 -> 1 []; 1 -> _1 []; }"
"AirCarbon3_80.jpg_dark_2_mean_pipeline";"2";"0.22240947824945900";"6";"4";"5";"18";"digraph Pipeline { rankdir = ""RL"";79 [label=""Closing\nA=14\n B=9\n C=-1,178097\n StructElementType=Rectangle""]; 41 [label=""HistoToThresh\nSigma=1""]; 25 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=15\n Scale=0,3""]; 13 [label=""SobelAmp\nFilterType=x_binomial\n MaskSize=7""]; 12 [label=""SobelAmp\nFilterType=x_binomial\n MaskSize=5""]; 3 [label=""EdgesImage\nFilter=canny\n Alpha=1,3\n Low=25\n High=45\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 79 -> 41 []; 41 -> 25 []; 41 -> 13 []; 25 -> 12 []; 13 -> 3 []; 12 -> _1 []; 3 -> _1 []; }"
"AirCarbon3_80.jpg_dark_3_mean_pipeline";"3";"0.19458547801341899";"4";"4";"4";"13";"digraph Pipeline { rankdir = ""RL"";38 [label=""Closing\nA=14\n B=2\n C=1,178097\n StructElementType=Rectangle""]; 25 [label=""Threshold\nMin=40\n Max=205""]; 13 [label=""SobelAmp\nFilterType=x_binomial\n MaskSize=7""]; 7 [label=""EdgesImage\nFilter=canny\n Alpha=1,1\n Low=25\n High=40\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 38 -> 25 []; 25 -> 13 []; 13 -> 7 []; 7 -> _1 []; }"
"AirCarbon3_80.jpg_dark_4_mean_pipeline";"4";"0.37316097809904702";"2";"2";"2";"7";"digraph Pipeline { rankdir = ""RL"";22 [label=""FastThreshold\nMinGray=157\n MaxGrayOffset=255\n MinSize=124""]; 4 [label=""GrayDilation\nStructElement=Circle\n A=2\n B=18\n GrayValueMax=20""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 22 -> 4 []; 4 -> _1 []; }"
"AirCarbon3_80.jpg_dark_5_mean_pipeline";"5";"0.09321097800676981";"3";"3";"2";"8";"digraph Pipeline { rankdir = ""RL"";26 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0,3""]; 19 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=7""]; 7 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 26 -> 19 []; 19 -> 7 []; 7 -> _1 []; }"
"CF_ReferenceSet_mean_pipeline";"ReferenceSet";"0.07943193100572690";"2";"2";"2";"6";"digraph Pipeline { rankdir = ""RL"";34 [label=""Connection\nNeighborhood=4""]; 20 [label=""VarThreshold\nMaskWidth=23\n MaskHeight=15\n StdDevScale=0,7000001\n AbsThreshold=85\n LightDark=not_equal""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 34 -> 20 []; 20 -> _1 []; }"
"CF_ReferenceSet_Small_Dark_mean_pipeline";"Dark";"0.22826492672089899";"3";"3";"2";"8";"digraph Pipeline { rankdir = ""RL"";82 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0,2""]; 19 [label=""SobelAmp\nFilterType=x\n MaskSize=5""]; 8 [label=""SobelAmp\nFilterType=y\n MaskSize=5""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 82 -> 19 []; 19 -> 8 []; 8 -> _1 []; }"
"CF_ReferenceSet_Light_Dark_mean_pipeline";"Dark";"0.33973230546604799";"4";"4";"4";"12";"digraph Pipeline { rankdir = ""RL"";33 [label=""Closing\nA=21\n B=25\n C=0,785398\n StructElementType=Circle""]; 21 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0,2""]; 10 [label=""SobelAmp\nFilterType=y\n MaskSize=5""]; 0 [label=""MedianWeighted\nMaskType=inner\n MaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 33 -> 21 []; 21 -> 10 []; 10 -> 0 []; 0 -> _1 []; }"
