"long";"short";"MCC";"number_of_operators";"pipeline_depth";"number_of_unique_operators";"total_number_of_parameters";"digraph"
"AirCarbon2_t_8.jpg_mean_pipeline";"8.jpg";"0.03363918122168622";"2";"2";"2";"9";"digraph Pipeline { rankdir = ""RL"";82 [label=""VarThreshold\nMaskWidth=29\n MaskHeight=9\n StdDevScale=0,9000002\n AbsThreshold=11\n LightDark=light""]; 2 [label=""AnisotropicDiffusion\nDiffusionCoefficient=parabolic\n Contrast=100\n Theta=3\n Iterations=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 82 -> 2 []; 2 -> _1 []; }"
"AirCarbon3_80.jpg_bright_mean_pipeline";"bright";"0.03329347657776461";"5";"5";"5";"8";"digraph Pipeline { rankdir = ""RL"";72 [label=""Union1\n""]; 37 [label=""Connection\nNeighborhood=8""]; 22 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=light\n MaskSize=15\n Scale=0,3""]; 15 [label=""SobelAmp\nFilterType=y\n MaskSize=5""]; 4 [label=""BandpassImage\nFilterType=lines""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 72 -> 37 []; 37 -> 22 []; 22 -> 15 []; 15 -> 4 []; 4 -> _1 []; }"
"AirCarbon3_80.jpg_dark_1_mean_pipeline";"1";"0.03362338396520027";"1";"1";"1";"4";"digraph Pipeline { rankdir = ""RL"";24 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=light\n MaskSize=15\n Scale=0.2""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 24 -> _1 []; }"
"AirCarbon3_80.jpg_dark_2_mean_pipeline";"2";"0.12489508229305453";"2";"2";"2";"3";"digraph Pipeline { rankdir = ""RL"";21 [label=""Threshold\nMin=70\n Max=240""]; 0 [label=""Roberts\nFilterType=gradient_sum""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 21 -> 0 []; 0 -> _1 []; }"
"AirCarbon3_80.jpg_dark_3_mean_pipeline";"3";"0.12664506722440419";"2";"2";"2";"10";"digraph Pipeline { rankdir = ""RL"";83 [label=""VarThreshold\nMaskWidth=13\n MaskHeight=7\n StdDevScale=0.5000001\n AbsThreshold=5\n LightDark=not_equal""]; 9 [label=""EdgesImage\nFilter=canny\n Alpha=1.1\n Low=25\n High=45\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 83 -> 9 []; 9 -> _1 []; }"
"AirCarbon3_80.jpg_dark_4_mean_pipeline";"4";"0.23431241513234011";"2";"2";"2";"7";"digraph Pipeline { rankdir = ""RL"";87 [label=""FastThreshold\nMinGray=121\n MaxGrayOffset=185\n MinSize=161""]; 0 [label=""EliminateMinMax\nMaskWidth=19\n MaskHeight=9\n Gap=12\n Mode=1""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 87 -> 0 []; 0 -> _1 []; }"
"AirCarbon3_80.jpg_dark_5_mean_pipeline";"5";"0.07167893328167732";"3";"3";"3";"7";"digraph Pipeline { rankdir = ""RL"";78 [label=""Union1\n""]; 24 [label=""VarThreshold\nMaskWidth=25\n MaskHeight=29\n StdDevScale=7.450581E-08\n AbsThreshold=31\n LightDark=dark""]; 18 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=5""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 78 -> 24 []; 24 -> 18 []; 18 -> _1 []; }"
"CF_ReferenceSet_mean_pipeline";"ReferenceSet";"0.07943193100572690";"2";"2";"2";"6";"digraph Pipeline { rankdir = ""RL"";34 [label=""Connection\nNeighborhood=4""]; 20 [label=""VarThreshold\nMaskWidth=23\n MaskHeight=15\n StdDevScale=0,7000001\n AbsThreshold=85\n LightDark=not_equal""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 34 -> 20 []; 20 -> _1 []; }"
"CF_ReferenceSet_Small_Dark_mean_pipeline";"Dark";"0.13951582740723203";"3";"3";"3";"3";"digraph Pipeline { rankdir = ""RL"";24 [label=""ZeroCrossing\n""]; 19 [label=""SobelAmp\nFilterType=y\n MaskSize=5""]; 4 [label=""BandpassImage\nFilterType=lines""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 24 -> 19 []; 19 -> 4 []; 4 -> _1 []; }"
"CF_ReferenceSet_Small_Light_mean_pipeline";"Light";"0.15020555475541145";"1";"1";"1";"5";"digraph Pipeline { rankdir = ""RL"";85 [label=""VarThreshold\nMaskWidth=3\n MaskHeight=29\n StdDevScale=0,4000001\n AbsThreshold=56\n LightDark=light""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 85 -> _1 []; }"
