,tile_crack,toothbrush_small,crack_forest,cable_missing_train,MT_Blowhole_train,kos10,kos25,FabricDefectsAITEX,carpet,leather,capsule,metal_nut,pill,grid_thread,wood_scratch,zipper,bottle_large,bottle_small,hazelnut_crack_train,screw_scratch_neck_train,transistor_damaged_case_train,81.jpg_bright,81.jpg_dark,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,t_8,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,resin_cgp,window_cgp,resin_cgp_augmented,severstal,spule-upside-0315,spule-upside-0117,spule2-0816_Upside-dl1,spule2-0816_Upside-dl2,spule-upside-hole,spule-upside-hole256
tile_crack,1.0000001,0.26989985,0.36145353,0.22186542,0.20353472,0.26870248,0.22412479,0.27589485,0.32639334,0.22739221,0.18394418,0.21169105,0.2833121,0.32582146,0.25073576,0.23518771,0.12880066,0.12279036,0.27009192,0.21554688,0.23852281,0.17124467,0.17652245,0.15089826,0.17810625,0.18551481,0.17655672,0.17656957,0.15712883,0.25413552,0.26571,0.18407622,0.1539346,0.1539346,0.15583992,0.21975091,0.20037603,0.19191846,0.20084545,0.18916802,0.19706166,0.18975712
toothbrush_small,0.26989985,1.0000001,0.14311153,0.33405253,0.20036983,0.15839365,0.10679403,0.2229674,0.13705401,0.13183798,0.32537106,0.40944353,0.48957485,0.2386953,0.18520042,0.27536288,0.23539387,0.2201616,0.42646962,0.31445435,0.2949664,0.28264472,0.2704616,0.25370902,0.26860383,0.26350984,0.23749173,0.2711708,0.2785155,0.20207432,0.19600959,0.1623646,0.400562,0.400562,0.38637972,0.25361377,0.3495925,0.32833654,0.35270613,0.35709345,0.3218602,0.32236743
crack_forest,0.36145353,0.14311153,1.0000004,0.14062259,0.22244737,0.5632514,0.4741059,0.33020973,0.4328985,0.54373604,0.13682842,0.14691928,0.20620884,0.25526637,0.26961273,0.1901313,0.09239145,0.09380178,0.17444287,0.15898119,0.0945524,0.19707404,0.23234956,0.22806524,0.23650154,0.21741584,0.21418008,0.21920219,0.16224599,0.2488986,0.25101984,0.22853658,0.08913751,0.08913751,0.094565265,0.27159035,0.15079035,0.14340766,0.13136777,0.12143037,0.15261558,0.14417845
cable_missing_train,0.22186542,0.33405253,0.14062259,1.0000002,0.113826916,0.17410664,0.108018406,0.15809412,0.122035705,0.14161506,0.30966562,0.52661365,0.31024233,0.25050968,0.12516487,0.18460649,0.5476829,0.5033451,0.35484323,0.29059112,0.32469246,0.10156149,0.086884506,0.07004001,0.09842374,0.092261456,0.080744945,0.09250717,0.092592075,0.14991778,0.15824276,0.082276486,0.34277454,0.34277454,0.38180664,0.13206829,0.19918726,0.19933735,0.20064752,0.19151361,0.19198829,0.18623552
MT_Blowhole_train,0.20353472,0.20036983,0.22244737,0.113826916,1.0000004,0.28677124,0.28777528,0.4910992,0.41465765,0.30449894,0.15999712,0.18087074,0.2058719,0.24910367,0.5749832,0.35201058,0.14163557,0.14737986,0.3363712,0.2000039,0.24321102,0.60578614,0.60748756,0.5305059,0.6196509,0.6196858,0.6792302,0.57704234,0.5766473,0.5130234,0.4580908,0.6728181,0.24768345,0.24768345,0.21708344,0.833907,0.37590778,0.34838843,0.39713824,0.38181686,0.36343265,0.36981186
kos10,0.26870248,0.15839365,0.5632514,0.17410664,0.28677124,0.99999976,0.9070083,0.3752718,0.48371047,0.39475468,0.16672964,0.14777608,0.18903643,0.26857123,0.34205365,0.23889633,0.11043005,0.11755142,0.1366741,0.17615274,0.11496126,0.22200438,0.23169155,0.2242861,0.23659933,0.2063395,0.2273868,0.22095892,0.18009718,0.31702518,0.31429777,0.2734688,0.14351447,0.14351447,0.15593031,0.28707168,0.14603318,0.14619018,0.14076312,0.12748368,0.14851274,0.14736043
kos25,0.22412479,0.10679403,0.4741059,0.108018406,0.28777528,0.9070083,1.0,0.37607014,0.51489913,0.33137158,0.118907645,0.09462302,0.11916187,0.24086912,0.36686608,0.23932916,0.082095385,0.09106206,0.0915158,0.11588463,0.08352235,0.20258024,0.21686044,0.21725436,0.21693566,0.17992619,0.20609912,0.21309501,0.17845905,0.3323773,0.31805345,0.289637,0.098758295,0.098758295,0.10752017,0.25240713,0.14319621,0.14567919,0.13155793,0.11934147,0.14488882,0.14792305
FabricDefectsAITEX,0.27589485,0.2229674,0.33020973,0.15809412,0.4910992,0.3752718,0.37607014,0.9999999,0.5979265,0.46687624,0.18706875,0.26683185,0.22139765,0.55561393,0.36939618,0.5964737,0.22987449,0.26896897,0.2581099,0.16842443,0.18753107,0.3872721,0.4353878,0.39532074,0.4478886,0.3612961,0.4125752,0.42885077,0.4108922,0.40462,0.3682645,0.42499226,0.23764612,0.23764612,0.22034052,0.5053048,0.56044596,0.58093536,0.511078,0.48218802,0.5794086,0.5767917
carpet,0.32639334,0.13705401,0.4328985,0.122035705,0.41465765,0.48371047,0.51489913,0.5979265,1.0,0.41339272,0.12212929,0.14010307,0.16239515,0.36138627,0.34922984,0.31865454,0.11191042,0.12408345,0.14323673,0.13293767,0.11266603,0.2209523,0.30157685,0.2921684,0.30604985,0.2392319,0.2452722,0.28772235,0.25971404,0.36315084,0.33328265,0.36868677,0.11093105,0.11093105,0.11926385,0.34643456,0.23250797,0.23061094,0.21173343,0.19542032,0.23943654,0.22097118
leather,0.22739221,0.13183798,0.54373604,0.14161506,0.30449894,0.39475468,0.33137158,0.46687624,0.41339272,1.0000001,0.15648694,0.15493928,0.22771281,0.28692508,0.31829482,0.2705578,0.13700436,0.15213257,0.2728412,0.14987475,0.15424053,0.23034409,0.29816264,0.28419465,0.3070531,0.24744126,0.26063737,0.26936683,0.2488751,0.21951923,0.198142,0.2796476,0.10713969,0.10713969,0.114018746,0.3173901,0.19065642,0.18628466,0.16994756,0.15272057,0.20104983,0.19427013
