,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
t_8,0.9999999,0.8456714,0.8904611,0.9070101,0.87613297,0.8362518,0.8973262,0.5657697,0.50255764,0.6852019,0.4875828,0.41089222,0.18009718,0.57664734,0.4540848,0.4540848,0.4700262,0.15651351,0.16647217,0.14282203,0.259714,0.09259211,0.23174746,0.26716128,0.2331771,0.30297187,0.13944766,0.15712883,0.2785155,0.45404384,0.30628228,0.24887502,0.2954957,0.2670169,0.2954957,0.6330908,0.164113,0.16224599
80.jpg_bright,0.8456714,1.0,0.88871574,0.8859126,0.9110764,0.8737035,0.9345344,0.51771057,0.47597113,0.605452,0.48061663,0.3851813,0.22188091,0.5907273,0.44687444,0.44687444,0.4648579,0.11820325,0.11943961,0.1374636,0.22932751,0.09595682,0.18511502,0.25602296,0.21642585,0.27042937,0.1519252,0.17161448,0.28061113,0.4583426,0.30374506,0.23198673,0.23854972,0.20945054,0.23854972,0.6795901,0.16718197,0.20252293
80.jpg_dark_1,0.8904611,0.88871574,1.0000001,0.8988582,0.87522924,0.81054306,0.94943076,0.5046381,0.4431357,0.66406953,0.401044,0.3953208,0.22428612,0.53050584,0.3750731,0.3750731,0.39017856,0.12003289,0.12783599,0.1119656,0.29216847,0.07004003,0.17992124,0.2312519,0.19231276,0.26483947,0.106572665,0.15089831,0.25370902,0.4661917,0.27490765,0.2841947,0.19900416,0.17656478,0.19900416,0.5897591,0.11064789,0.22806527
80.jpg_dark_2,0.9070101,0.8859126,0.8988582,1.0,0.94302535,0.9126217,0.94016176,0.54720086,0.49563813,0.67666113,0.5229429,0.44788873,0.23659933,0.6196509,0.4845516,0.4845516,0.49204704,0.13738671,0.1426338,0.12975277,0.3060499,0.09842377,0.22544347,0.25663245,0.22866388,0.30624354,0.14553809,0.17810623,0.26860383,0.46767768,0.34855247,0.30705303,0.2454885,0.22147505,0.2454885,0.7022361,0.16893175,0.2365016
80.jpg_dark_3,0.87613297,0.9110764,0.87522924,0.94302535,1.0000002,0.93993413,0.92719716,0.5501495,0.51577467,0.66096234,0.49047172,0.36129624,0.20633954,0.61968595,0.44184,0.44184,0.45288217,0.10606781,0.10435284,0.108097136,0.23923188,0.09226146,0.19470894,0.25667396,0.20657316,0.2915095,0.1318963,0.18551485,0.26350978,0.47472656,0.29585657,0.24744119,0.22393255,0.19581494,0.22393255,0.67851144,0.16437021,0.2174159
80.jpg_dark_4,0.8362518,0.8737035,0.81054306,0.9126217,0.93993413,0.99999994,0.8865546,0.63103753,0.58819664,0.73942786,0.52898806,0.4125752,0.2273868,0.6792302,0.4724547,0.4724547,0.4913912,0.104159914,0.103834935,0.11010948,0.24527213,0.08074497,0.2193516,0.23798183,0.18596217,0.24815291,0.12387128,0.1765567,0.2374917,0.5192904,0.31132963,0.26063737,0.24274635,0.19804001,0.24274635,0.7333403,0.17503335,0.21418014
80.jpg_dark_5,0.8973262,0.9345344,0.94943076,0.94016176,0.92719716,0.8865546,1.0,0.5797341,0.5303686,0.6801925,0.50001216,0.42885083,0.22095895,0.5770424,0.46795672,0.46795672,0.480418,0.13049605,0.13666457,0.12149008,0.28772235,0.0925072,0.21019252,0.24543642,0.21541792,0.2777847,0.12494386,0.17656961,0.27117077,0.47587064,0.33520725,0.2693668,0.25148818,0.21542534,0.25148818,0.65343964,0.14894785,0.21920219
CF_RefSet,0.5657697,0.51771057,0.5046381,0.54720086,0.5501495,0.63103753,0.5797341,1.0000004,0.98292613,0.7975157,0.33668154,0.40462,0.31702518,0.51302344,0.29538044,0.29538044,0.31531194,0.15983234,0.15854634,0.14588808,0.36315084,0.14991777,0.24772461,0.2097973,0.14685401,0.1669123,0.12983406,0.25413555,0.20207429,0.6782983,0.28301165,0.21951923,0.367765,0.3011347,0.367765,0.5251875,0.17614374,0.24889858
CF_RefSet_Small_Light,0.50255764,0.47597113,0.4431357,0.49563813,0.51577467,0.58819664,0.5303686,0.98292613,0.9999999,0.71314895,0.32180896,0.36826462,0.31429774,0.45809087,0.27968892,0.27968892,0.29540434,0.15383515,0.14898057,0.1377416,0.33328265,0.15824273,0.23777342,0.201796,0.1421441,0.16351302,0.12774158,0.26571,0.19600958,0.6369604,0.26367962,0.19814199,0.36455697,0.29642287,0.36455697,0.4821424,0.17812206,0.25101987
CF_ReferenceSet_Small_Dark,0.6852019,0.605452,0.66406953,0.67666113,0.66096234,0.73942786,0.6801925,0.7975157,0.71314895,1.0000001,0.32690835,0.42499232,0.2734688,0.67281806,0.2936503,0.2936503,0.32185093,0.1138203,0.122785605,0.12585077,0.3686868,0.082276486,0.2164374,0.21669918,0.12341054,0.15397313,0.11739861,0.1840762,0.16236453,0.7864503,0.27990332,0.27964753,0.23602483,0.18395202,0.23602483,0.6345288,0.13070425,0.2285366
