,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
t_8,0.99999994,0.98463523,0.9877834,0.9754217,0.86024934,0.7653941,0.98326284,0.84382904,0.7166882,0.79175365,0.8008061,0.7532195,0.6557669,0.8012715,0.81002647,0.81002647,0.80825603,0.7633236,0.7598164,0.715164,0.729498,0.7601458,0.7247786,0.77783304,0.8086538,0.7836741,0.6661678,0.7330429,0.82982254,0.6756504,0.7745644,0.66289073,0.93645984,0.93644214,0.93645984,0.8950584,0.75425535,0.6771238
80.jpg_bright,0.98463523,1.0,0.96052533,0.9775768,0.91550666,0.84042084,0.98658854,0.8683107,0.7754534,0.8265513,0.874354,0.81482446,0.6973952,0.8309439,0.8823122,0.8823122,0.88066643,0.83771497,0.8345234,0.77752924,0.789736,0.82701373,0.78045905,0.8409118,0.8771018,0.8625904,0.7157111,0.78117085,0.8943762,0.7146644,0.8515323,0.7115534,0.9722085,0.97218287,0.9722085,0.92202544,0.82114613,0.7125539
80.jpg_dark_1,0.9877834,0.96052533,1.0,0.94217736,0.78597623,0.7074951,0.9522365,0.84665775,0.70390856,0.788518,0.72094923,0.74683714,0.67159426,0.80818677,0.73118615,0.73118615,0.73158026,0.7141882,0.7109276,0.69775754,0.7096856,0.7234842,0.7161428,0.7499086,0.7582101,0.70815027,0.67320967,0.728012,0.75589037,0.69190735,0.7141545,0.6706295,0.9038884,0.9038732,0.9038884,0.8868966,0.7194988,0.6973507
80.jpg_dark_2,0.9754217,0.9775768,0.94217736,1.0,0.93527406,0.8538647,0.9984973,0.8777959,0.780888,0.838437,0.8882995,0.788726,0.7039301,0.83585274,0.89368755,0.89368755,0.89292246,0.8493786,0.8463643,0.78543884,0.798816,0.8383064,0.782857,0.8404851,0.8829228,0.874769,0.720901,0.7915693,0.91550916,0.7203721,0.86377406,0.71384215,0.968688,0.9686801,0.968688,0.9237694,0.8308777,0.7172378
80.jpg_dark_3,0.86024934,0.91550666,0.78597623,0.93527406,1.0,0.95009315,0.9300014,0.8370395,0.8212506,0.8283914,0.99194795,0.8184075,0.70152545,0.80532646,0.99323756,0.99323756,0.9917765,0.93525463,0.9330419,0.8344928,0.8465709,0.9052747,0.81384003,0.8915503,0.9559275,0.983858,0.73605984,0.8081325,0.99663526,0.71130544,0.96072274,0.72891855,0.95735055,0.9573423,0.95735055,0.8880283,0.897304,0.69903857
80.jpg_dark_4,0.7653941,0.84042084,0.7074951,0.8538647,0.95009315,0.9999998,0.84325653,0.9100297,0.94523984,0.9262461,0.9702791,0.932665,0.8603421,0.9033566,0.96858394,0.96858394,0.97518235,0.99753,0.9972955,0.954329,0.95986897,0.9879394,0.93809026,0.9781767,0.99688476,0.9820908,0.88872576,0.9296646,0.9681954,0.86342496,0.9984315,0.8845228,0.9398468,0.93987095,0.9398468,0.9278447,0.9853182,0.8514837
80.jpg_dark_5,0.98326284,0.98658854,0.9522365,0.9984973,0.9300014,0.84325653,0.9999999,0.869344,0.7687642,0.827151,0.88200194,0.7850112,0.6903681,0.8267513,0.8882568,0.8882568,0.88677,0.83876646,0.83557254,0.7728646,0.78628504,0.82677615,0.77161753,0.8317803,0.8751474,0.86764354,0.70769256,0.77884984,0.90838695,0.7075164,0.85434383,0.7010557,0.96843785,0.96842307,0.96843785,0.919076,0.8193857,0.70479214
CF_RefSet,0.84382904,0.8683107,0.84665775,0.8777959,0.8370395,0.9100297,0.869344,1.0,0.96855724,0.993835,0.82791233,0.9650247,0.95672184,0.9964707,0.8295087,0.8295087,0.8417667,0.9279701,0.92796046,0.96454966,0.9674247,0.9534965,0.9730837,0.96602446,0.9300449,0.8455464,0.9602089,0.9799246,0.84859586,0.9637798,0.90049946,0.95789486,0.9400768,0.9401186,0.9400768,0.9919152,0.954854,0.9631453
CF_RefSet_Small_Light,0.7166882,0.7754534,0.70390856,0.780888,0.8212506,0.94523984,0.7687642,0.96855724,1.0000001,0.9878054,0.843442,0.9873936,0.9791997,0.97985375,0.8416556,0.8416556,0.8560907,0.96197677,0.9631258,0.999272,0.9987429,0.98404706,0.9995091,0.98918116,0.9490405,0.8709028,0.98953795,0.99749005,0.84910995,0.9799644,0.93215084,0.98819906,0.89254236,0.8925941,0.89254236,0.9510699,0.9870371,0.97468525
CF_ReferenceSet_Small_Dark,0.79175365,0.8265513,0.788518,0.838437,0.8283914,0.9262461,0.827151,0.993835,0.9878054,1.0000001,0.8315827,0.97780263,0.9752486,0.99732745,0.83174175,0.83174175,0.845469,0.94301695,0.94358516,0.9842237,0.9864074,0.96975493,0.9904523,0.97946537,0.9389221,0.8529305,0.9803041,0.9945968,0.84622616,0.97968,0.91306645,0.97933185,0.9202307,0.92028373,0.9202307,0.9794852,0.9721581,0.977382
spule2-0816_Upside-dl1,0.8008061,0.874354,0.72094923,0.8882995,0.99194795,0.9702791,0.88200194,0.82791233,0.843442,0.8315827,0.9999999,0.8384872,0.72082305,0.8043239,0.9998014,0.9998014,0.99962485,0.9557716,0.9541565,0.8579207,0.86796254,0.9249609,0.8339564,0.908857,0.968972,0.9975778,0.7584462,0.82344395,0.99710715,0.72749704,0.97905016,0.75193757,0.9381671,0.93816286,0.9381671,0.8737969,0.91804886,0.7131617
FabricDefectsAITEX,0.7532195,0.81482446,0.74683714,0.788726,0.8184075,0.932665,0.7850112,0.9650247,0.9873936,0.97780263,0.8384872,1.0,0.9635409,0.9758736,0.83930314,0.83930314,0.85221136,0.9493402,0.95005137,0.98458403,0.9844987,0.97076243,0.98977345,0.98532605,0.9447885,0.8640755,0.9745596,0.9831288,0.84098715,0.966343,0.9214063,0.97535986,0.9080004,0.908037,0.9080004,0.9573848,0.97432804,0.9623477
