,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
t_8,0.99999994,0.9779998,0.9900774,0.99269605,0.975936,0.9224875,0.98777765,0.8680441,0.8011443,0.96583325,0.90489167,0.9658135,0.9433182,0.9696019,0.88677394,0.88677394,0.9187348,0.9136499,0.9087711,0.9036897,0.5366898,0.85327685,0.8494234,0.97066355,0.9284652,0.951128,0.96838504,0.8597304,0.9605097,0.9537695,0.91892624,0.9438881,0.8902816,0.89016485,0.8902816,0.9484262,0.90325695,0.9522008
80.jpg_bright,0.9779998,1.0,0.98667234,0.99434704,0.98594975,0.95823336,0.9956329,0.8979239,0.8436935,0.94112605,0.94405526,0.97511625,0.955516,0.9884585,0.92358214,0.92358214,0.95524323,0.9589305,0.955635,0.95019984,0.58896947,0.9192612,0.9050134,0.9792468,0.9662566,0.97286713,0.98274106,0.9142769,0.9762142,0.95660937,0.9639418,0.8941949,0.9465455,0.946475,0.9465455,0.9857839,0.9527259,0.9303669
80.jpg_dark_1,0.9900774,0.98667234,1.0,0.9935011,0.9860473,0.93057823,0.9971128,0.843756,0.7849313,0.94692314,0.90553796,0.95839363,0.9304068,0.97304696,0.8834362,0.8834362,0.92243147,0.930603,0.9256019,0.922778,0.5083298,0.86544234,0.8467262,0.98344725,0.94190335,0.96864873,0.983425,0.86124974,0.9751767,0.943188,0.9281066,0.9173663,0.90166694,0.9015416,0.90166694,0.954773,0.91774225,0.92174816
80.jpg_dark_2,0.99269605,0.99434704,0.9935011,1.0,0.9849206,0.94359064,0.9975611,0.88732314,0.8258151,0.96127105,0.9279019,0.97206545,0.9535985,0.9826869,0.9087876,0.9087876,0.94026667,0.93776405,0.93355376,0.92814946,0.5682252,0.88709366,0.8797195,0.9778738,0.9492565,0.96408534,0.97872835,0.8899473,0.9707132,0.9616831,0.94399357,0.9293718,0.9193033,0.9192124,0.9193033,0.97092205,0.9299181,0.94987994
80.jpg_dark_3,0.975936,0.98594975,0.9860473,0.9849206,0.9999999,0.9749298,0.9909731,0.87903595,0.83835125,0.95751715,0.9419207,0.9842772,0.9622577,0.9940174,0.92106307,0.92106307,0.95942396,0.97454876,0.9714335,0.96957564,0.56499135,0.92565435,0.90128887,0.998803,0.9812799,0.9947995,0.99894017,0.91681695,0.99615693,0.9682443,0.96462023,0.9125986,0.9523142,0.952216,0.9523142,0.97985435,0.96605724,0.93030363
80.jpg_dark_4,0.9224875,0.95823336,0.93057823,0.94359064,0.9749298,1.0,0.9492293,0.93131435,0.9186839,0.93946,0.97832704,0.98662627,0.98167837,0.9856895,0.96368396,0.96368396,0.9892935,0.99341935,0.99419343,0.98646456,0.6904388,0.9819136,0.9672496,0.9724356,0.9972834,0.9817987,0.97432107,0.9789228,0.98102593,0.97527933,0.99232185,0.87389714,0.98860025,0.98860675,0.98860025,0.98429036,0.99508303,0.9222133
80.jpg_dark_5,0.98777765,0.9956329,0.9971128,0.9975611,0.9909731,0.9492293,1.0,0.8727558,0.81693715,0.9517495,0.9275729,0.97071075,0.9477067,0.9848565,0.9063434,0.9063434,0.9422526,0.9484688,0.94426936,0.94046706,0.5495237,0.8946101,0.87798923,0.98638695,0.9579962,0.9755387,0.98778194,0.89078045,0.98041284,0.9561749,0.9485981,0.9149505,0.9264665,0.9263665,0.9264665,0.97295654,0.9389092,0.9325401
CF_RefSet,0.8680441,0.8979239,0.843756,0.88732314,0.87903595,0.93131435,0.8727558,1.0000001,0.9832614,0.91635543,0.97393703,0.939754,0.9702672,0.9130423,0.9787881,0.9787881,0.96297944,0.8965247,0.9005967,0.87262774,0.8671284,0.9272749,0.9783832,0.866544,0.91414225,0.866631,0.8672114,0.96783024,0.8814863,0.95337737,0.950357,0.86532426,0.92176634,0.92191315,0.92176634,0.92215234,0.9113395,0.94338554
CF_RefSet_Small_Light,0.8011443,0.8436935,0.7849313,0.8258151,0.83835125,0.9186839,0.81693715,0.9832614,1.0,0.87607527,0.96649235,0.9072502,0.94534045,0.8737384,0.97597545,0.97597545,0.9532893,0.8801014,0.88711625,0.8544196,0.917493,0.9273332,0.9802505,0.8293577,0.8975593,0.83813244,0.8300816,0.97251123,0.85367054,0.9271625,0.9371799,0.8148841,0.90601534,0.9062402,0.90601534,0.88396114,0.89919037,0.8960041
CF_ReferenceSet_Small_Dark,0.96583325,0.94112605,0.94692314,0.96127105,0.95751715,0.93946,0.9517495,0.91635543,0.87607527,0.9999999,0.93341416,0.96791095,0.9741818,0.9561817,0.92761415,0.92761415,0.9419319,0.9072271,0.90554625,0.8921378,0.66460466,0.8678714,0.8915574,0.9513534,0.92841566,0.9336322,0.9453087,0.8994384,0.9481363,0.98895633,0.9259903,0.986649,0.8901615,0.89012533,0.8901615,0.92958003,0.90553963,0.99082613
