,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
t_8,1.0,0.99578625,0.9906634,0.8722065,0.8747538,0.833068,0.8466325,0.91308796,0.7686201,0.9711866,0.7957788,0.9224183,0.8505563,0.9649337,0.7941537,0.7941537,0.7984259,0.8251101,0.81490135,0.8595445,0.6566718,0.8243692,0.7416711,0.89973074,0.8147136,0.81921935,0.81972486,0.7309236,0.8185307,0.8927283,0.8047315,0.93039626,0.89873576,0.89845926,0.89873576,0.9679805,0.79450554,0.9661336
80.jpg_bright,0.99578625,1.0000001,0.975132,0.9060496,0.90832675,0.8739699,0.8843417,0.9437543,0.82051253,0.95078206,0.84456205,0.9491996,0.8941813,0.98315954,0.84307957,0.84307957,0.8468546,0.86986095,0.86099803,0.89657223,0.71337575,0.86996645,0.7955115,0.93212,0.8611163,0.86085784,0.86254376,0.78538704,0.86347955,0.929361,0.8507225,0.9578336,0.9343033,0.93407714,0.9343033,0.98657715,0.84215176,0.985127
80.jpg_dark_1,0.9906634,0.975132,1.0,0.7982408,0.8013448,0.7506196,0.7670246,0.8655695,0.68453795,0.9930431,0.71073896,0.8614572,0.7785154,0.92017615,0.70873827,0.70873827,0.7133638,0.7425454,0.7311096,0.7824202,0.57740486,0.74270654,0.65771943,0.8320764,0.7311799,0.7342702,0.73487055,0.6473945,0.7343281,0.8265403,0.7179982,0.87204754,0.8327832,0.83244216,0.8327832,0.9258888,0.7068573,0.9287387
80.jpg_dark_2,0.8722065,0.9060496,0.7982408,1.0,0.9999846,0.9957162,0.9986534,0.91769123,0.9351778,0.731835,0.96598834,0.99313784,0.95778215,0.9675029,0.9661405,0.9661405,0.9686962,0.984213,0.97965777,0.9990591,0.8171245,0.9781805,0.91020083,0.99601173,0.97778755,0.9944697,0.99287176,0.8987683,0.98599684,0.9768477,0.98474133,0.98658514,0.98163027,0.9816243,0.98163027,0.9565322,0.9783282,0.93156195
80.jpg_dark_3,0.8747538,0.90832675,0.8013448,0.9999846,1.0,0.9954143,0.9983975,0.91947645,0.9352211,0.7354475,0.96586597,0.9937629,0.95844793,0.96887296,0.96599513,0.96599513,0.9685597,0.9841161,0.9795225,0.99897915,0.8174028,0.9781979,0.9102785,0.99644405,0.9776894,0.99399126,0.99247503,0.8988761,0.9857743,0.9776278,0.98435813,0.987464,0.9823844,0.98237604,0.9823844,0.95812756,0.97794765,0.93351376
80.jpg_dark_4,0.833068,0.8739699,0.7506196,0.9957162,0.9954143,1.0000001,0.99879605,0.91431916,0.9577257,0.6806862,0.9825867,0.98145026,0.96703875,0.9473188,0.98288053,0.98288053,0.9846111,0.994287,0.9918683,0.9985772,0.8544081,0.9896204,0.9370483,0.9904235,0.99040306,0.99940985,0.99963397,0.9272002,0.9961628,0.9772829,0.99625885,0.97596854,0.97975713,0.97981566,0.97975713,0.93662363,0.99253005,0.9119215
80.jpg_dark_5,0.8466325,0.8843417,0.7670246,0.9986534,0.9983975,0.99879605,0.9999999,0.90891707,0.94347656,0.69714445,0.97282004,0.98625183,0.9585694,0.95422566,0.9731245,0.9731245,0.97534007,0.988544,0.984935,0.99941003,0.829727,0.9825273,0.9199139,0.9922502,0.98305845,0.9985627,0.9972794,0.9089268,0.99090296,0.97383857,0.9908375,0.97901213,0.97790885,0.9779367,0.97790885,0.9424213,0.98539436,0.91608196
CF_RefSet,0.91308796,0.9437543,0.8655695,0.91769123,0.91947645,0.91431916,0.90891707,1.0,0.9399748,0.83834654,0.9373699,0.94436324,0.97839767,0.9595753,0.9359486,0.9359486,0.9367685,0.9380724,0.93649757,0.9225806,0.8904441,0.94643164,0.93160564,0.9489302,0.9392648,0.89999115,0.9107138,0.92795694,0.9291009,0.9793684,0.9178603,0.96364635,0.97556984,0.97554857,0.97556984,0.97060794,0.91968,0.9807605
CF_RefSet_Small_Light,0.7686201,0.82051253,0.68453795,0.9351778,0.9352211,0.9577257,0.94347656,0.9399748,1.0,0.6267404,0.9944579,0.92317855,0.9864937,0.89271635,0.99423325,0.99423325,0.99321556,0.9825894,0.98653466,0.94882,0.9671719,0.98811686,0.9978331,0.94510657,0.9881967,0.9516519,0.9622385,0.99567664,0.9791893,0.9695928,0.9771827,0.9328927,0.9619614,0.9621515,0.9619614,0.89292824,0.9837133,0.8850373
CF_ReferenceSet_Small_Dark,0.9711866,0.95078206,0.9930431,0.731835,0.7354475,0.6806862,0.69714445,0.83834654,0.6267404,1.0,0.64729756,0.8057774,0.7304888,0.87835354,0.6448911,0.6448911,0.6494533,0.67785585,0.6661369,0.71559805,0.53172594,0.68079007,0.60236144,0.77404594,0.6671516,0.66138357,0.6637322,0.5934044,0.6671881,0.77748,0.6480837,0.82185555,0.78311527,0.7827391,0.78311527,0.88965607,0.637597,0.9020301
spule2-0816_Upside-dl1,0.7957788,0.84456205,0.71073896,0.96598834,0.96586597,0.9825867,0.97282004,0.9373699,0.9944579,0.64729756,1.0,0.95218474,0.98809916,0.9190867,0.999991,0.999991,0.9999362,0.9964313,0.9981885,0.97597593,0.9357389,0.99819106,0.98558956,0.9699251,0.9986897,0.97866416,0.98552287,0.9806137,0.9950679,0.98064196,0.9940226,0.95617753,0.9765855,0.9767335,0.9765855,0.9150509,0.996935,0.90051365
FabricDefectsAITEX,0.9224183,0.9491996,0.8614572,0.99313784,0.9937629,0.98145026,0.98625183,0.94436324,0.92317855,0.8057774,0.95218474,0.99999994,0.9603364,0.99042565,0.95187634,0.95187634,0.9547803,0.9723601,0.96660453,0.9900537,0.80674326,0.9681323,0.89796484,0.9977475,0.96532804,0.97679216,0.9762586,0.8867836,0.9717961,0.98360205,0.9672548,0.99789053,0.9884283,0.98836315,0.9884283,0.9835904,0.96027565,0.96525127
kos10,0.8505563,0.8941813,0.7785154,0.95778215,0.95844793,0.96703875,0.9585694,0.97839767,0.9864937,0.7304888,0.98809916,0.9603364,1.0000001,0.94679403,0.98749006,0.98749006,0.9877844,0.9860207,0.9863965,0.9662729,0.9306434,0.9909606,0.97777146,0.97374564,0.98803437,0.95866436,0.96741676,0.973332,0.9812522,0.9944908,0.9757534,0.9715049,0.9907435,0.99082446,0.9907435,0.9500861,0.97833455,0.94759625
MT_Blowhole_train,0.9649337,0.98315954,0.92017615,0.9675029,0.96887296,0.9473188,0.95422566,0.9595753,0.89271635,0.87835354,0.9190867,0.99042565,0.94679403,1.0000001,0.9182385,0.9182385,0.9215126,0.94127107,0.9341653,0.9619822,0.7799211,0.93928814,0.8675995,0.98226035,0.9336363,0.93871444,0.9394424,0.85688996,0.9379184,0.97446185,0.9295392,0.99369216,0.9793464,0.9792122,0.9793464,0.99834514,0.921985,0.98848045
spule-upside-0315,0.7941537,0.84307957,0.70873827,0.9661405,0.96599513,0.98288053,0.9731245,0.9359486,0.99423325,0.6448911,0.999991,0.95187634,0.98749006,0.9182385,1.0000001,1.0000001,0.9999474,0.9964782,0.9982433,0.97613674,0.9351359,0.9981219,0.98528385,0.9697065,0.99870694,0.9791014,0.98586833,0.9802629,0.99522233,0.9800464,0.99429965,0.9556355,0.97603744,0.9761867,0.97603744,0.914,0.997178,0.89914215
spule-upside-hole-reduced,0.7941537,0.84307957,0.70873827,0.9661405,0.96599513,0.98288053,0.9731245,0.9359486,0.99423325,0.6448911,0.999991,0.95187634,0.98749006,0.9182385,1.0000001,1.0000001,0.9999474,0.9964782,0.9982433,0.97613674,0.9351359,0.9981219,0.98528385,0.9697065,0.99870694,0.9791014,0.98586833,0.9802629,0.99522233,0.9800464,0.99429965,0.9556355,0.97603744,0.9761867,0.97603744,0.914,0.997178,0.89914215
spule-upside-hole256-reduced,0.7984259,0.8468546,0.7133638,0.9686962,0.9685597,0.9846111,0.97534007,0.9367685,0.99321556,0.6494533,0.9999362,0.9547803,0.9877844,0.9215126,0.9999474,0.9999474,0.99999994,0.9972838,0.9987916,0.97828066,0.93169767,0.99865544,0.98361826,0.9720503,0.9991756,0.98090255,0.98736197,0.97833973,0.99612164,0.98134243,0.9951544,0.9581987,0.9776898,0.9778328,0.9776898,0.91707945,0.9976676,0.9019345
