,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
t_8,0.99999994,0.99619883,0.976129,0.9532374,0.8821471,0.852099,0.9639676,0.9521028,0.86268604,0.9239922,0.87015766,0.92196834,0.88454074,0.9446567,0.84263825,0.84263825,0.8522964,0.8483719,0.84539855,0.8547547,0.8198451,0.8547063,0.8866446,0.9565051,0.8870782,0.84705675,0.8527911,0.8689053,0.8508445,0.8951085,0.8804912,0.8767109,0.958083,0.9579844,0.958083,0.978856,0.8492492,0.9208876
80.jpg_bright,0.99619883,1.0,0.9663709,0.9601377,0.89459115,0.8661273,0.97138387,0.9566595,0.8734183,0.92837226,0.8757866,0.93574965,0.8968441,0.9543724,0.84645593,0.84645593,0.8582951,0.87183535,0.8687137,0.87775177,0.8124864,0.87379694,0.90129685,0.9678609,0.904215,0.8699476,0.8741305,0.8843724,0.8712929,0.9043333,0.893512,0.8704554,0.97077906,0.97069573,0.97077906,0.98419416,0.8686913,0.9205049
80.jpg_dark_1,0.976129,0.9663709,1.0,0.8651241,0.7591375,0.7185635,0.88407296,0.86346006,0.7327533,0.820481,0.744711,0.817889,0.7627145,0.8518302,0.70951843,0.70951843,0.72115195,0.7186442,0.71429646,0.7270822,0.69454294,0.72386295,0.76615775,0.87332094,0.76798713,0.7162317,0.72263765,0.7418311,0.7193031,0.77711624,0.7571753,0.7651618,0.87790114,0.8777329,0.87790114,0.9122348,0.7164603,0.81750613
80.jpg_dark_2,0.9532374,0.9601377,0.8651241,0.9999999,0.9832102,0.9703089,0.9989743,0.9991773,0.97431314,0.9934669,0.9737797,0.9947797,0.9836308,0.9992868,0.95838916,0.95838916,0.96511275,0.9638773,0.96298194,0.96687275,0.92411244,0.9700374,0.9845442,0.9976532,0.9836307,0.963996,0.9680508,0.97724926,0.96787924,0.9874721,0.9823798,0.9582661,0.99531436,0.99532217,0.99531436,0.9942932,0.9678639,0.9888957
80.jpg_dark_3,0.8821471,0.89459115,0.7591375,0.9832102,0.99999994,0.99808145,0.97497135,0.98289156,0.99819744,0.9912166,0.99320847,0.9936156,0.99903846,0.9870479,0.98620415,0.98620415,0.9905075,0.98915744,0.98960334,0.9899885,0.94754523,0.9953538,0.99901915,0.97703,0.99702644,0.99021614,0.99322945,0.9983253,0.9942422,0.9990453,0.9996269,0.9663455,0.97221565,0.97228694,0.97221565,0.95873916,0.99529696,0.9864479
80.jpg_dark_4,0.852099,0.8661273,0.7185635,0.9703089,0.99808145,1.0,0.95969,0.9705814,0.99910206,0.98393077,0.9932989,0.9855666,0.99672276,0.9756079,0.9894345,0.9894345,0.99270546,0.98900646,0.9899567,0.98914576,0.95122975,0.9955999,0.99631536,0.9627092,0.9936236,0.9904333,0.993351,0.9978179,0.99483305,0.99562687,0.99812174,0.9640597,0.9568485,0.95694095,0.9568485,0.93986815,0.99643224,0.9790981
80.jpg_dark_5,0.9639676,0.97138387,0.88407296,0.9989743,0.97497135,0.95969,1.0,0.99739456,0.9638019,0.9879314,0.9629957,0.9915933,0.97560656,0.9977877,0.9450461,0.9450461,0.9528967,0.9564686,0.955188,0.9598824,0.9090943,0.96137005,0.97743255,0.9987976,0.977465,0.9561922,0.96005875,0.9686384,0.959337,0.9797218,0.9741297,0.94754165,0.997479,0.9974742,0.997479,0.99784815,0.95875776,0.9822447
CF_RefSet,0.9521028,0.9566595,0.86346006,0.9991773,0.98289156,0.9705814,0.99739456,1.0,0.9759411,0.99613225,0.9779509,0.99242705,0.98330635,0.99782723,0.9643143,0.9643143,0.96977997,0.95828414,0.9576566,0.96134025,0.93648684,0.9667045,0.9832926,0.994708,0.9807698,0.9587929,0.9638154,0.97617066,0.96418387,0.98831224,0.98241186,0.96790797,0.99122465,0.99123317,0.99122465,0.9927931,0.9649641,0.99305236
CF_RefSet_Small_Light,0.86268604,0.8734183,0.7327533,0.97431314,0.99819744,0.99910206,0.9638019,0.9759411,1.0,0.9891122,0.99712354,0.985901,0.99708927,0.9783151,0.9937712,0.9937712,0.9962001,0.9831421,0.9841488,0.9836112,0.9617811,0.99192995,0.9957483,0.96499336,0.991747,0.9848207,0.9887103,0.99660355,0.9905735,0.99754095,0.99832594,0.9741628,0.95843583,0.9585201,0.95843583,0.94542104,0.9927435,0.98603183
CF_ReferenceSet_Small_Dark,0.9239922,0.92837226,0.820481,0.9934669,0.9912166,0.98393077,0.9879314,0.99613225,0.9891122,0.99999994,0.99222624,0.9911591,0.991553,0.99343574,0.9836374,0.9836374,0.9870673,0.9648463,0.9650222,0.967103,0.96076375,0.9757315,0.9899861,0.98543704,0.98545724,0.9661078,0.97173756,0.9858669,0.97314626,0.99568206,0.99144304,0.9823856,0.97983944,0.9798745,0.97983944,0.97862536,0.97521055,0.998131
spule2-0816_Upside-dl1,0.87015766,0.8757866,0.744711,0.9737797,0.99320847,0.9932989,0.9629957,0.9779509,0.99712354,0.99222624,1.0,0.9797753,0.99359834,0.976282,0.99794686,0.99794686,0.99932134,0.96873903,0.9699433,0.9696149,0.97803664,0.98159164,0.99026686,0.9617843,0.9839282,0.9708996,0.9765414,0.99088186,0.9791818,0.9954082,0.9942095,0.98596215,0.95389575,0.9539723,0.95389575,0.9461646,0.9826209,0.99147
